id_universite;nom_universite;nom_court;date_creation;dep_id
137;Université de Toulon;;1979;83
138;École spéciale d'architecture;;1865;75
139;Centre de ressources, d'expertise et de performance sportives de Toulouse;CREPS Toulouse;;31
140;École supérieure angevine en informatique et productique;ESAIP;1987;49
141;Facultés Libres de Philosophie et de Psychologie;IPC;;75
142;Itescia;Itescia;;95
143;Université de Guyane;;2015;973
144;Université de Versailles Saint-Quentin-en-Yvelines;UVSQ;1991;78
145;Université du Littoral Côte d’Opale;ULCO;1991;59
146;Y SCHOOLS;Y SCHOOLS;;10
147;École spéciale militaire de Saint-Cyr;ESM ST CYR;1802;56
148;ICN Business School;;;54
149;Institut catholique de Toulouse;;1876;31
150;Institut catholique de Vendée;ICES;1990;85
151;Institut national des sciences appliquées de Toulouse;INSA de Toulouse;1961;31
152;Université de Franche-Comté;UFC;1971;25
153;Université de Lorraine;;2012;54
154;Université de Nantes;;1962;44
155;École supérieure des technologies et des affaires de Belfort;ESTA Belfort;1986;90
156;École nationale supérieure d'architecture de Paris-La Villette;ENSAPLV;;75
157;École nationale supérieure d'informatique pour l'industrie et l'entreprise;;2006;91
158;École supérieure de chimie organique et minérale;;1969;60
159;Institut polytechnique UniLaSalle;UniLaSalle;2006;60
160;Université Claude Bernard - Lyon 1;;1971;69
161;Université de Perpignan Via Domitia;;1979;66
162;Institut Mines-Télécom, au périmètre des écoles IMT Atlantique, Lille Douai, Albi, Alès, Mines Saint-Étienne et Institut Mines-Télécom Business school;;2012;91
163;ECAM-EPMI;ECAM-EPMI;1992;95
164;École d'ingénieur généraliste en informatique et technologies du numérique;EFREI Paris;2017;94
165;École nationale supérieure des sciences agronomiques de Bordeaux Aquitaine;Bordeaux Sciences Agro;1963;33
166;École nationale supérieure maritime;;2010;76
167;École nationale vétérinaire de Toulouse;;1825;31
168;École pour l'informatique et les techniques avancées;EPITA;1984;94
169;ESIEE Paris;ESIEE Paris;1968;93
170;Vet Agro Sup;Vet Agro Sup;2010;69
171;Institut régional du travail social de Champagne-Ardennes;IRTS Champagne-Ardenne;;51
172;Institut supérieur de l'aéronautique et de l'espace;ISAE-SUPAERO;2007;31
173;Université de Lille;;2018;59
174;Université de Limoges;;1971;87
175;Université de Montpellier;;2015;34
176;Université de Tours;;1971;37
177;Université des Antilles;;2015;971
178;Université Grenoble Alpes;;2019;38
179;Université Lumière - Lyon 2;;1973;69
180;Yncréa Méditerranée;Yncréa Méditerranée;;83
